iter	Passed	Remaining
0	154	154489
1	155	77568
2	156	51980
3	157	39195
4	158	31477
5	158	26309
6	159	22639
7	160	19863
8	160	17702
9	161	15971
10	161	14553
11	162	13380
12	163	12382
13	163	11529
14	164	10803
15	165	10156
16	165	9586
17	166	9075
18	166	8617
19	167	8206
20	168	7833
21	168	7494
22	169	7185
23	169	6901
24	170	6640
25	170	6401
26	171	6178
27	171	5970
28	172	5777
29	173	5597
30	173	5428
31	174	5269
32	174	5121
33	175	4980
34	175	4848
35	176	4723
36	176	4604
37	177	4496
38	178	4406
39	179	4307
40	180	4210
41	180	4119
42	181	4032
43	181	3948
44	182	3868
45	182	3794
46	183	3723
47	184	3655
48	184	3588
49	185	3524
50	186	3462
51	186	3403
52	187	3345
53	187	3290
54	188	3237
55	188	3185
56	189	3135
57	190	3086
58	190	3040
59	191	2995
60	191	2954
61	192	2917
62	193	2878
63	194	2839
64	194	2803
65	195	2767
66	196	2733
67	196	2698
68	197	2664
69	197	2630
70	198	2597
71	199	2567
72	199	2536
73	200	2506
74	200	2477
75	201	2448
76	201	2420
77	202	2393
78	203	2366
79	203	2340
80	204	2315
81	204	2290
82	204	2264
83	205	2240
84	206	2219
85	207	2200
86	207	2179
87	208	2158
88	208	2137
89	209	2116
90	209	2096
91	210	2077
92	211	2058
93	211	2039
94	212	2020
95	212	2002
96	213	1986
97	214	1971
98	214	1954
99	215	1937
100	215	1921
101	216	1905
102	216	1889
103	217	1873
104	218	1858
105	218	1843
106	219	1828
107	219	1814
108	220	1800
109	220	1786
110	222	1779
111	222	1765
112	223	1752
113	223	1739
114	224	1726
115	224	1714
116	225	1700
117	225	1688
118	226	1676
119	227	1664
120	227	1653
121	228	1640
122	228	1629
123	229	1618
124	229	1607
125	230	1596
126	230	1585
127	231	1575
128	231	1565
129	232	1555
130	233	1545
131	233	1535
132	234	1526
133	234	1516
134	235	1507
135	236	1501
136	237	1493
137	237	1484
138	238	1475
139	238	1466
140	239	1458
141	239	1448
142	240	1441
143	241	1432
144	241	1424
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1385
150	245	1377
151	245	1370
152	246	1362
153	246	1354
154	247	1347
155	247	1340
156	248	1333
157	248	1326
158	249	1319
159	250	1312
160	250	1304
161	251	1299
162	252	1294
163	252	1287
164	253	1281
165	253	1274
166	254	1269
167	254	1262
168	255	1256
169	256	1250
170	256	1244
171	257	1238
172	257	1232
173	258	1226
174	258	1220
175	259	1214
176	260	1209
177	260	1203
178	261	1197
179	261	1192
180	262	1187
181	262	1181
182	263	1176
183	263	1170
184	264	1165
185	265	1159
186	265	1155
187	266	1151
